component,,,Qty,,,Price(USD),,,Price(INR),,,Link
,,,,,,,,,,,,
Kapton tape,,,1,,,1.5,,,142,,,https://www.amazon.in/gp/product/B0DQYJ7569/ref=ox_sc_act_title_1?smid=A13K6Y4N7NSFDR&th=1
,,,,,,,,,,,,
motherboard,,,1,,,57.97,,,5499,,,https://www.amazon.in/gp/product/B0BXFBN121/ref=ox_sc_act_title_2?smid=A1Q09H46LCFUVC&psc=1
,,,,,,,,,,,,
CPU(Ryzen5600G),,,1,,,159.83,,,15162,,,https://www.amazon.in/gp/product/B092L9GF5N/ref=ox_sc_act_title_7?smid=AJ6SIZC8YQDZX&psc=1
,,,,,,,,,,,,
Cabinet,,,1,,,21.6,,,2049,,,https://www.amazon.in/gp/product/B0FXSJLSKR/ref=ox_sc_act_title_3?smid=AJ6SIZC8YQDZX&psc=1
,,,,,,,,,,,,
PSU,,,1,,,11.06,,,1049,,,https://www.amazon.in/gp/product/B0DYP5S38W/ref=ox_sc_act_title_1?smid=AJ6SIZC8YQDZX&psc=1
,,,,,,,,,,,,
RAM(after disc),disc)(applicablefor1),,2,,,"55.34,57.98",,,5250+5500,,,https://www.amazon.in/OTEK-3200MHz-Performance-Multitasking-Warranty/dp/B0GHFGMYMD/ref=sr_1_3?crid=3373CGDA3VNZD&dib=eyJ2IjoiMSJ9.BACYHiP9EI7qWfolWysOKvog6nncUsxo4c90c4pQoQ78oUZ7stfxRDb9j_p0lSlKzeZLp6fy7AH4FqZQ5mwGi9qKxnaceoAJGGlBEkeRuo9Fl41613ZSACgcoyY62zXe.QeKJZ3Hiom3ZxFD2-tq-MmtgvolAgpTEnFFpuv49FyQ&dib_tag=se&keywords=otek+ram&qid=1774639661&sprefix=OTEK+ram%2Caps%2C614&sr=8-3
,,,,,,,,,,,,
foam sheets,,,1,,,2.15,,,199,,,https://www.amazon.in/gp/product/B0F5N4Q3ZT/ref=ox_sc_act_title_4?smid=A1MGH4ET3U6HNL&psc=1
,,,,,,,,,,,,
cardstock,,,2,,,1.35,,,125,,,https://www.amazon.in/gp/product/B0CBVVDG15/ref=ox_sc_act_title_6?smid=A1Q38HZ9JWUNF3&psc=1
,,,,,,,,,,,,
zipties,,,2 (pack of 100),,,1.03,,,95,,,https://www.amazon.in/gp/product/B09SWVCKMF/ref=ox_sc_act_title_5?smid=A2J04V8YS25LL0&psc=1
GRAND TOTAL,,,,,,372.2,,,35308,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,23,,
